param,i,j,value
S0,0,0,5606
S0,1,1,5606
S0,2,2,5606
R0,0,0,9.5378450242
R0,1,1,9.5378450242
R0,2,2,9.5378450242
sampling,0,0,0.0844932334
sampling,1,1,0.0844932334
sampling,2,2,0.0844932334
recovery,0,0,0.0124803202
recovery,1,1,0.0124803202
recovery,2,2,0.0124803202
visit_to,0,0,0.0396758545
visit_to,0,1,0.0396758545
visit_to,0,2,0.0396758545
visit_to,1,0,0.0396758545
visit_to,1,1,0.0396758545
visit_to,1,2,0.0396758545
visit_to,2,0,0.0396758545
visit_to,2,1,0.0396758545
visit_to,2,2,0.0396758545
visit_from,0,0,0.3523678822
visit_from,0,1,0.3523678822
visit_from,0,2,0.3523678822
visit_from,1,0,0.3523678822
visit_from,1,1,0.3523678822
visit_from,1,2,0.3523678822
visit_from,2,0,0.3523678822
visit_from,2,1,0.3523678822
visit_from,2,2,0.3523678822
to_infectious,0,0,0.0564461727
to_infectious,0,1,0.0564461727
to_infectious,0,2,0.0564461727
to_infectious,1,0,0.0564461727
to_infectious,1,1,0.0564461727
to_infectious,1,2,0.0564461727
to_infectious,2,0,0.0564461727
to_infectious,2,1,0.0564461727
to_infectious,2,2,0.0564461727
infection,0,0,0.0175446156
infection,1,1,0.0175446156
infection,2,2,0.0175446156
start_state,0,0,1
